,pre,2W,4W,6W,8W,10W,12W
105,9.489,0.432,0.012,0.435,0.091,0.001,0.013
106,9.66,0.228,0.023,0.003,0.004,0.009,0.002
107,4.79,0.102,0.0,0.0,0.003,0.0,0.003
108,9.34,0.26,0.01,0.0,0.003,0.001,0.002
109,9.7,0.006,0.0,0.0,0.003,0.001,0.004
110,1.875,0.008,0.0,0.0,0.003,0.0,0.003
111,1.68,0.003,0.0,0.0,0.003,0.0,0.003
112,16.5,0.166,0.012,0.0,0.001,0.001,0.002
113,29.815,0.342,0.051,0.0,0.046,0.001,0.003
114,8.964,0.076,0.018,0.0,0.009,0.001,0.002
115,11.22,0.22,0.006,0.0,0.001,0.001,0.002
116,4.5,0.094,0.008,0.0,0.004,0.0,0.002
117,29.353,1.087,0.041,0.001,0.0,0.001,0.002
118,7.489,0.39,0.0,0.009,0.001,0.002,0.003
119,2.64,0.089,0.0,0.006,0.001,0.003,0.003
120,14.9,0.375,0.0,0.05,0.001,0.001,0.013
121,29.43,0.073,0.0,0.014,0.001,0.011,0.003
122,39.71,0.392,0.0,0.001,0.001,0.003,0.003
123,3.51,0.114,0.004,0.0,0.002,0.0,0.003
124,56.15,0.279,0.047,0.0,0.006,0.001,0.002
125,13.5,0.218,0.011,0.0,0.002,0.001,0.002
126,17.27,0.18,0.009,0.0,0.001,0.001,0.002
127,5.7,0.094,0.0,0.001,0.001,0.001,0.003
128,6.07,0.265,0.03,0.0,0.05,0.05,0.004
129,21.68,0.05,0.0,0.003,0.001,0.002,0.003
130,16.027,0.01,0.04,0.02,0.001,0.019,0.011
131,9.01,0.397,0.0,0.01,0.001,0.05,0.003
132,6.453,0.009,0.011,0.0,0.001,0.001,0.003
133,21.8,0.463,0.03,0.008,0.0,0.004,0.002
134,12.017,0.663,0.055,0.006,0.0,0.003,0.001
135,6.67,0.109,0.0,0.007,0.001,0.03,0.003
136,7.441,0.154,0.01,0.002,0.001,0.001,0.002
137,4.528,0.441,0.052,0.01,0.001,0.002,0.002
138,23.0,0.128,0.009,0.002,0.001,0.005,0.003
139,545.0,0.148,92.007,0.0,0.002,0.001,0.004
140,11.35,0.394,0.037,0.007,0.001,0.04,0.002
141,4.43,0.124,0.012,0.002,0.001,0.001,0.002
142,25.58,1.094,0.099,0.014,0.001,0.003,0.003
143,1.26,0.05,0.0,0.03,0.001,0.001,0.012
144,12.43,0.347,0.022,0.004,0.002,0.001,0.002
145,13.98,0.354,0.0,0.0,0.001,0.001,0.003
146,4.94,0.169,0.022,0.004,0.001,0.014,0.002
147,12.66,0.354,0.033,0.007,0.001,0.005,0.002
148,37.5,0.008,0.109,0.0,0.01,0.009,0.004
149,7.1,0.183,0.011,0.002,0.001,0.001,0.002
150,3.96,0.298,0.024,0.005,0.001,0.001,0.002
151,5.51,0.116,0.01,0.001,0.001,0.001,0.002
152,16.748,0.52,0.0,0.0,0.001,0.001,0.003
153,10.413,0.591,0.052,0.008,0.001,0.001,0.002
154,4.799,0.19,0.008,0.0,0.001,0.0,0.002
155,5.9,0.301,0.039,0.002,0.001,0.001,0.002
156,14.649,0.657,0.0,0.0,0.001,0.001,0.003
157,9.77,0.011,0.33,0.06,0.037,0.02,0.013
158,12.0,0.447,0.043,0.005,0.0,0.001,0.002
159,11.61,0.007,0.0,0.001,0.001,0.001,0.003
160,7.025,0.303,0.007,0.001,0.001,0.001,0.002
161,6.0,0.379,0.0,0.01,0.001,0.001,0.003
162,29.054,1.084,0.0,0.006,0.001,0.001,0.003
163,15.0,0.001,0.0,0.001,0.001,0.001,0.003
